"","doc_id","participant","economy_type","reconstructed_chars"
"1",1854,"Plastic Omnium","Advanced","plastic let shape future mobility universal registration document nee integrate report annual financial report corporate governance report statement non financial performance integrate report statutory account presentation plastic statutory account business income statement key figure balance sheet history development group note statutory account organization chart year financial summary significant event subsidiary affiliate business statutory auditor report objective strategy financial stateme"
"2",1920,"Renault SAS","Advanced","new version registration document include annual financial report message chairman chief executive officer governance group business key figure brand group statutory auditor report consolidated financial statement consolidated financial statement statutory auditor report overview group annual financial statement alliance earning report research development internal control risk management risk factor regulatory environment general information post balance sheet event general information relate s"
"3",1926,"Rexel Group","Advanced","rent fee share capital register office world version universal registration document file capacity competent authority application provision regulation prior approval accordance article regulation version universal registration document purpose public offering security trade market supplement security note applicable summary supplement entire package approve accordance regulation document free translation original document prepare matter interpretation view opinion express original language docu"
"4",1082,"Halcyon Agri Corporation Limited","Advanced","innovate sustain book content corporate governance report financial statement corporate structure information corporate structure corporate information audit financial statement corporate governance report corporate governance report strategy member strategy development strategic year direction elect major investment plan asset management total member executive director non executive director chief corporate officer elect year independent director hour glass limit aggregate innovate sustain corp"
"5",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"6",1928,"Ricegrowers Limited t/a SunRice","Advanced","report group seek improve way topic focus area business relate communicate long term sustainable value class affect meaningful change time shareholder important stakeholder year focus area approach describe approach integrate financial non financial report sustainability page material topic discuss provide information aspect performance approach risk section report page report annual report support require stakeholder engagement statement information report portfolio sustainability report bounda"
"7",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"8",1176,"Impax Asset Management LLC","Advanced","fund seek pal sea aie one ane sea aie fee aie man lot eat table content report statement continue support global compact asset management base investment world fund commit achieve high standard responsible business practice end publish sustainability datum signatory global compact overview asset management publish sustainability report mission value statement address global sustainability challenge report cover activity asset management calendar year parent company affiliate entity report refer "
"9",2167,"Swiss Reinsurance Co.","Advanced","note progress report introduce enhance group sustainability strategy describe action take accelerate sustainable progress executive statement approach sustainability create solution sustainability extend risk intelligence responsible investor engage dialogue stakeholder reduce footprint engage people ensure good corporate governance compliance provide transparency independent assurance report membership commitment index sustainability report chairman board director believe group sustainability s"
"10",1074,"HORIBA, Ltd.","Advanced","draw energy enter post era founder realize limitation carry research cover story university establish laboratory pursue research find president year president start study medical science hope bring company new field study allow understand human body explain realization change value see human capability explain power science want draw capability realize get result creative idea pursue work mission construct company give employee opportunity work pioneer glass meter manufacture principle ear corpo"
