"","doc_id","participant","economy_type","reconstructed_chars"
"1",659,"Curaçao Industrial and International ...","Advanced","image obtain iso certification international pany certification iso image obtain acknowledge good investment promotion good invest global report site selection magazine big agency industrial commercial development international trade development company name good invest report site selection magazine good investment promotion agency site selection magazine publish offer specialized information expansion plan executive rapid growth company compromise improve development free zone industrial park"
"2",1194,"Ingenieria y Economia del Transporte ...","Advanced","annual report annual report letter look large figure worldwide milestone strategy strategic plan corporate governance integrity transparency good practice team innovation quality road agenda smart mobility main project agenda firm commitment agenda sdg equality sustainability compliance balance sheet profit loss statement annual report management smart city fundamental pillar daily activity define company corporate culture regard international market area major involvement team area increase rev"
"3",1511,"Mediaset España Comunicación S.A.","Advanced","report annual corporate report present content offer video series board director agree company new hold launch promote change new digital medium year old target responsible household concept celebrate gender anniversary lead format annual corporate report ill start edition aim train future master creation management content produce professional sector year old launch digital medium reach good historical position platform allow global ranking video consumption enjoy entire launch month campaign o"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"6",1561,"Mitsui & Co., Ltd.","Advanced","business integrate publication integrated report let short term gain mind seek prosperity embrace aspiration word president represent foundation word avoid focused near term profit realize growth create business contribute society long term development release revise version mission vision value corporate management philosophy announcement medium term management plan transform grow revise time year new philosophy put message center include vision create grow business address material issue susta"
"7",2156,"Svenska Handelsbanken AB (publ)","Advanced","found bank branch network way work strong local presence long term approach customer relation goal well profitability average peer competitor home market achieve goal have satisfied customer low cost found satisfied customer branch home market home market conversation ceo head sustainability sustainable development goal manager group mutual fund bank concept working woman volume manage method material sustainability topic bank customer sustainability criterion bank role community responsible fin"
"8",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"9",2053,"SharePower Responsible Investing, Inc.","Advanced","responsible invest die lie pee ale advisor register principal connect advisor responsible invest communication progress disclosure contact info responsible invest national office main investing involve risk include loss principal different type investment carry vary degree risk client prepare bear investment original principal loss investing include responsible investing guarantee success document recommendation buy sell security information contain sufficient investment decision buy sell securi"
"10",2264,"Thomson Reuters","Advanced","letter social impact trust year president ceo renewable energy global share social need set science base carbon reduction act integrity impact result target align degree independence hold strengthen society people business strengthen foundation great strength company society provide information people diverse inclusive workforce drive expertise insight people trust innovation connect community society achieve human risk focus right foundation corporate equality woe social impact work drive acces"
