"","doc_id","participant","economy_type","reconstructed_chars"
"1",659,"Curaçao Industrial and International ...","Advanced","image obtain iso certification international pany certification iso image obtain acknowledge good investment promotion good invest global report site selection magazine big agency industrial commercial development international trade development company name good invest report site selection magazine good investment promotion agency site selection magazine publish offer specialized information expansion plan executive rapid growth company compromise improve development free zone industrial park"
"2",873,"Euskaltel, S.A.","Advanced","group letter chairman chief executive officer customer promotion brand launch new brand grow focus respond domestic market commercial strategy need shift trend result ground good practice unique technology group achieve profitable growth operation plant support commercial boost business sustainability build efficiency new market view new challenge face product grow improve global industry profitability lead company strategy new road map work begin direction month implementation decision bear fru"
"3",1511,"Mediaset España Comunicación S.A.","Advanced","report annual corporate report present content offer video series board director agree company new hold launch promote change new digital medium year old target responsible household concept celebrate gender anniversary lead format annual corporate report ill start edition aim train future master creation management content produce professional sector year old launch digital medium reach good historical position platform allow global ranking video consumption enjoy entire launch month campaign o"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",1561,"Mitsui & Co., Ltd.","Advanced","business integrate publication integrated report let short term gain mind seek prosperity embrace aspiration word president represent foundation word avoid focused near term profit realize growth create business contribute society long term development release revise version mission vision value corporate management philosophy announcement medium term management plan transform grow revise time year new philosophy put message center include vision create grow business address material issue susta"
"6",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"7",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"8",2156,"Svenska Handelsbanken AB (publ)","Advanced","found bank branch network way work strong local presence long term approach customer relation goal well profitability average peer competitor home market achieve goal have satisfied customer low cost found satisfied customer branch home market home market conversation ceo head sustainability sustainable development goal manager group mutual fund bank concept working woman volume manage method material sustainability topic bank customer sustainability criterion bank role community responsible fin"
"9",2053,"SharePower Responsible Investing, Inc.","Advanced","responsible invest die lie pee ale advisor register principal connect advisor responsible invest communication progress disclosure contact info responsible invest national office main investing involve risk include loss principal different type investment carry vary degree risk client prepare bear investment original principal loss investing include responsible investing guarantee success document recommendation buy sell security information contain sufficient investment decision buy sell securi"
"10",342,"Attica Holdings S.A. - Attica Group","Advanced","responsible mining responsibility report pee indicator economic performance number title disclosure requirement disclosure explanation topic material economic performance cause operation activity support material supply chain topic boundary material topic boundary topic limit include description jurisdiction mining operation impact occur organization involvement impact example organization cause contribute impact link impact business relationship specific limitation topic disclosure financial in"
"11",524,"Cabot Corporation","Advanced","report high level inclusion support professional development increase diverse representation leadership professional role community engagement engage community location contribute financial donation help community thrive environmental compliance certify environmental management system place operating location sit energy import reduce energy intensity emission reduce greenhouse gas emission intensity reduce emission intensity emission intensity waste spill reduce waste eliminate disposal manufact"
"12",2242,"The Chemours Company","Advanced","corporate responsibility commitment corporate responsibility commitment index report release report goal achieve report reflect performance progress goal calendar year end report include section executive summary provide overview company value principle goal action global detail general disclosure specific standard disclosure corporate responsibility topic important company reporting sustainability accounting standard index report key accounting activity sustainability metric chemical sector sta"
"13",576,"China National Offshore Oil Corp. (CN...","Developing","quality energy blue sea sustainability report gas mix corporate management research office address building implement new strengthen fundamental look demand high quality energy brand energy security strategy effort research strive break key development oil technical problem field gas accelerate construction system industrial chain project home rank natural gas production supply reserve technology major deep global oil gas brand value list management corporate governance operation company overvie"
"14",266,"Aktor S.A.","Advanced","sustainable development peer report earn group environment group presentation contribution increase business model renewable energy resource materiality analysis availability reliability sustainable development contribution circular economy goal management environmental stakeholder engagement footprint group strategic priority biodiversity target message chairman operation governance create value society compliance supply chain risk management communicate local business continuity community digi"
"15",778,"ELLAKTOR Group","Advanced","sustainable development peer report earn group environment group presentation contribution increase business model renewable energy resource materiality analysis availability reliability sustainable development contribution circular economy goal management environmental stakeholder engagement footprint group strategic priority biodiversity target message chairman operation governance create value society compliance supply chain risk management communicate local business continuity community digi"
