"","doc_id","participant","economy_type","reconstructed_chars"
"1",1052,"Grupo Sese","Advanced","corporate social responsibility report non financial information statement corporate social responsibility report prepare accordance essential option global reporting initiative standard accord standard document publish main objective highlight activity carry organisation perspective total transparency offer complete overview organisation social environmental economic development report tool present information status non financial position form organisation report respond requirement law non fi"
"2",1511,"Mediaset España Comunicación S.A.","Advanced","report annual corporate report present content offer video series board director agree company new hold launch promote change new digital medium year old target responsible household concept celebrate gender anniversary lead format annual corporate report ill start edition aim train future master creation management content produce professional sector year old launch digital medium reach good historical position platform allow global ranking video consumption enjoy entire launch month campaign o"
"3",668,"DAMM","Advanced","annual report annual report letter executive chairman sustainability social responsibility form conclude like mention important work beginning transform carry foundation past year people world sign global compact sustain company sponsorship charity initiative agenda commit sustainable itis clear sign commitment society development goal sdg emphasis organization promote new social action project environment effect responsible production consumption sdg decent work economic growth sdg year challen"
"4",1082,"Halcyon Agri Corporation Limited","Advanced","innovate sustain book content corporate governance report financial statement corporate structure information corporate structure corporate information audit financial statement corporate governance report corporate governance report strategy member strategy development strategic year direction elect major investment plan asset management total member executive director non executive director chief corporate officer elect year independent director hour glass limit aggregate innovate sustain corp"
"5",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"6",736,"Deutsche Boerse AG","Advanced","arise gear see executive supervisory board statement note letter consolidated income statement executive board consolidate statement comprehensive supervisory board income report supervisory board consolidated balance sheet consolidate cash flow statement consolidated statement change equity basis preparation consolidated income statement disclosure balance sheet disclosure fundamental information group responsibility statement executive report economic position board report post balance sheet d"
"7",792,"Eastnine AB","Advanced","communication progress general like use opportunity reaffirm commitment global compact principle respect human right labour environment anti corruption evaluate progress area year communication progress integrate annual report primary share financial sustainability information stakeholder sustainability goal principle describe page sustainability section annual report sustainability section report produce accordance framework index table compliant information provide specific reference report in"
"8",1353,"Kungsleden AB","Advanced","cat nee eat foe ree seat peer pay toe set pee pet pee property value share certify property electricity heating cool sustainability reporting compliant want need perspective business ethic sustainability work global reporting initiative gri sustainability aspect coordinate sustainability framework provide transparency input follow guideline manager collaborate enable monitoring conduct materiality analysis sustainability issue organisation conduct survey share clarify focus sustainability work u"
"9",1671,"Nordea Bank Abp","Advanced","sustainability report production group image page content statement take climate action embed human right responsible supply chain people performance diversity inclusion embrace new technology note principle responsible banking reporting index tcfd disclosure index aie sustainability report statement sustainability effort participation exit commitment sustainability approve external position statement sector guideline publish new sector guideline include instance guideline fossil fuel industry s"
"10",1074,"HORIBA, Ltd.","Advanced","draw energy enter post era founder realize limitation carry research cover story university establish laboratory pursue research find president year president start study medical science hope bring company new field study allow understand human body explain realization change value see human capability explain power science want draw capability realize get result creative idea pursue work mission construct company give employee opportunity work pioneer glass meter manufacture principle ear corpo"
"11",1065,"HAMAMATSU PHOTONICS K.K.","Advanced","content table content management philosophy group activity message activity product application review vision solid state system division central origin research development contribution academic research historical activity governance value creation model light financial datum year key enable technology closing message member corporate policy environment publish integrate report medium share mid long term value creation financial non financial information international framework provide interna"
"12",1957,"SCSK Corporation","Advanced","report wee cap future group continue grow lead company service year high strategic partner implement promote career profit high revenue client work style reform development woman rate consume annual number female executive line manager net sale pay day increase year operate profit percentage consolidated net average monthly sale account overtime hour group client base company hour minute net sale post high profit high revenue build relationship goal believe improve employee mental physical promo"
"13",1777,"PGE Polska Grupa Energetyczna S.A.","Developing","capacity power plant implementation new low launch phase carbon project share construction new gas electricity fire unit generation implementation upgrade market investment power plant combine heat power plant result adapt group asset conclusion implementation target phase plant project select strategic launch partner half way energy decade launch programme potential expansion share renewable implementation end phase decade farm expansion programme implementation include real project estate conn"
"14",905,"Fingrid Oyj","Advanced","consumption electricity generate consumer different way transmission grid distribution network operator consumer produce electricity cross border connection service electricity market service image role electricity system generate online annual report contain part specify user visit online report annual report mean combine regulation capable small electricity production consumption storage site large entity enable electricity trade different electricity balance power market balance power market "
"15",1781,"PJSC Inter RAO","Developing","fee see company structure market overview development risk opportunity innovative activity management system procurement activity system financial result generation foreign asset supply trading engineering ote sustainable development corporate governance report social responsibility principle achievement message chairman board director sustainable development goal corporate governance system stakeholder engagement general meeting shareholder environmental director occupational safety prevent occ"
"16",1705,"OSF Global Ukraine LLC","Developing","description action relevant policy relate human right assessment policy goal description relevance human right company human right risk assessment description policy public commitment company goal human right company respect declaration human right internal regulation document name code conduct available employee respect exception supplier customer selection account adherence partner global compact principle business collaboration organization respect human right company respect human right empl"
"17",724,"DeFlores, LLC","Advanced","stakeholder pleased confirm reaffirm support principle global compact area human right labour environment anti corruption annual communication progress describe action improve integration global compact principle business strategy culture daily operation commit share information stakeholder primary channel communication assessment policy goal description relevance human right company human right risk assessment description policy public commitment company goal human right compliance law rule reg"
"18",460,"Bolton International, Inc.","Developing","stakeholder pleased confirm reaffirm support principle global compact area human right labour environment anti corruption annual communication progress describe action improve integration global compact principle business strategy culture daily operation commit share information stakeholder primary channel communication chief executive officer human right assessment policy goal policy support declaration right write company code conduct committed work environment free discrimination basis race r"
"19",1352,"Krusell (Thailand) Co., Ltd","Developing","financial statement year end independent auditor report shareholder board director opinion audit financial statement company comprise statement financial position statement income statement change shareholder equity year end note financial statement include summary significant accounting policy opinion financial statement present material respect financial position financial performance year end accordance financial reporting standard non accountable entity basis opinion conduct audit accordance"
