"","doc_id","participant","economy_type","reconstructed_chars"
"1",1052,"Grupo Sese","Advanced","corporate social responsibility report non financial information statement corporate social responsibility report prepare accordance essential option global reporting initiative standard accord standard document publish main objective highlight activity carry organisation perspective total transparency offer complete overview organisation social environmental economic development report tool present information status non financial position form organisation report respond requirement law non fi"
"2",1714,"Ocyan S.A.","Developing","pee visit get care pay see pee see annual report orientation website investor relation innovation expectation annual report include impact pandemic communication covid date report publish economic spread virus measure adopt government authority affect business global economy operational result comment suggestion document activity internal safety environmental commitment responsible management climate change sustainability management index corporate information annual report message year mark ope"
"3",1511,"Mediaset España Comunicación S.A.","Advanced","report annual corporate report present content offer video series board director agree company new hold launch promote change new digital medium year old target responsible household concept celebrate gender anniversary lead format annual corporate report ill start edition aim train future master creation management content produce professional sector year old launch digital medium reach good historical position platform allow global ranking video consumption enjoy entire launch month campaign o"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",733,"Dentsu Inc.","Advanced","group integrate report introduction content strategy message leader conversation message chair lead value creation model new normal integrate diverse business resource international business corporate governance connect diverse stakeholder message datum summary corporate datum financial report view file group sustainability report finance provide consolidated financial statement note fiscal year end consolidated result group integrate report policy organization cover integrate report explain gro"
"6",2276,"Tokyu Fudosan Holdings Corporation","Advanced","seal database harm fee creation combine new home work play style aoe original goal act return profit society pursuit new city people corporate publish anniversary president corporation provide holding communication stakeholder general meeting shareholder integrate report investor relation release financial result financial result dialogue analyst institutional investor corporate individual investor facility tour sustainability website annual security report group initiative corporate governance "
"7",318,"Argentum Fondsinvesteringer","Advanced","management pee stage ease pee lean pie ethical guideline find company website adhere principle global compact year ethical guideline base principle member global compact submit report company performance indicator measure indicator organisation investment activity separate requirement draw investment process make integral process decision making monitoring manager portfolio work development company process area company collaborate work investor member forum responsible sustainable investment pre"
"8",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"9",207,"ATP","Advanced","aoe stewardship activity stewardship give high priority active owner investor well able understand control company overall transaction promote long term value creation basis work policy stewardship government lay framework principle work past year adapt stewardship code principle build experience lead update shareholder right directive expert academic knowledge field follow development player policy stewardship update approve define requirement expectation board ensure follow stewardship institu"
"10",1074,"HORIBA, Ltd.","Advanced","draw energy enter post era founder realize limitation carry research cover story university establish laboratory pursue research find president year president start study medical science hope bring company new field study allow understand human body explain realization change value see human capability explain power science want draw capability realize get result creative idea pursue work mission construct company give employee opportunity work pioneer glass meter manufacture principle ear corpo"
"11",1065,"HAMAMATSU PHOTONICS K.K.","Advanced","content table content management philosophy group activity message activity product application review vision solid state system division central origin research development contribution academic research historical activity governance value creation model light financial datum year key enable technology closing message member corporate policy environment publish integrate report medium share mid long term value creation financial non financial information international framework provide interna"
"12",1143,"IDEC Corporation","Advanced","think automation phone report pioneer new norm way safe step global company adopt new philosophy way encompass follow sustainable world vision engage development human machine core leverage core technology create enhance development management industrial switch control device machine want safe point contact human machine manufacture site daily life desire contribute society contribute wellbeing society base premise pioneer new norm safe sustainable world time human machine break inspire pursue r"
"13",1777,"PGE Polska Grupa Energetyczna S.A.","Developing","capacity power plant implementation new low launch phase carbon project share construction new gas electricity fire unit generation implementation upgrade market investment power plant combine heat power plant result adapt group asset conclusion implementation target phase plant project select strategic launch partner half way energy decade launch programme potential expansion share renewable implementation end phase decade farm expansion programme implementation include real project estate conn"
"14",830,"EnBW Energie Baden-Wurttemberg AG","Advanced","recent face challenge pandemic overcome crisis require understanding collective effort energy company special responsibility time operator critical infrastructure know handle type challenge begin prepare early stage possibility outbreak pandemic phase plan place regular basis expert task force work specialist department company external body employee keep day business run work home operational team responsible power plant grid control centre supply water disposal waste ensure energy supply syste"
"15",905,"Fingrid Oyj","Advanced","consumption electricity generate consumer different way transmission grid distribution network operator consumer produce electricity cross border connection service electricity market service image role electricity system generate online annual report contain part specify user visit online report annual report mean combine regulation capable small electricity production consumption storage site large entity enable electricity trade different electricity balance power market balance power market "
"16",724,"DeFlores, LLC","Advanced","stakeholder pleased confirm reaffirm support principle global compact area human right labour environment anti corruption annual communication progress describe action improve integration global compact principle business strategy culture daily operation commit share information stakeholder primary channel communication assessment policy goal description relevance human right company human right risk assessment description policy public commitment company goal human right compliance law rule reg"
