"","doc_id","participant","economy_type","reconstructed_chars"
"1",2066,"Siauliu Bankas, AB","Advanced","report activity year develop compliance standard global responsibility initiative table content transparency corruption prevention community general public report member global compact initiate nation social responsibility report bank follow principle global compact time year report base recommendation global reporting initiative bank provide comprehensive corporate social responsibility report available bank website head social responsibility global year external initiative gri participant init"
"2",864,"Eurobank Ergasias S.A.","Advanced","trade datum country include market trend development consumer behaviour information country partnership business participation large online network support member trade club alliance international banking group country international buyer group employee country meeting banking group member trade club alliance employee family volunteer time enterprise group employee list participate growth training man hour group wide cycle start welcome form company participation start generate programme turnove"
"3",2328,"Unione Di Banche Italiane SCPA","Advanced","statement pursuant legislative sustainability report run joint stock company form office general management operating office member deposit protection fund belong vat tax code vat company registration register bank banking group parent company share capital pay address document write account take public exchange offer bank share launch image document take book entitle publish contain collection photo take group employee competition hold cover pee age ree fee age ape tee pee profile local bank ph"
"4",2284,"Toto Ltd.","Advanced","group integrate report philosophy system group management spirit word founder philosophy system group management come bring concept service work goal provide good product satisfy customer profit compensation follow world profit end capture real thing letter write president contain word founder formulate company base corporate activity future respect found idea pass incorporate philosophy system group management appropriate time share group common group philosophy common group philosophy represen"
"5",1143,"IDEC Corporation","Advanced","think automation phone report pioneer new norm way safe step global company adopt new philosophy way encompass follow sustainable world vision engage development human machine core leverage core technology create enhance development management industrial switch control device machine want safe point contact human machine manufacture site daily life desire contribute society contribute wellbeing society base premise pioneer new norm safe sustainable world time human machine break inspire pursue r"
"6",1554,"Mitsubishi Electric Corporation","Advanced","green tomorrow change well content environment social content report corporate governance global operation corporate datum financial result risk management business segment approach information security research development intellectual create contribute address initiative relate value chain social customer human labor practice supply chain management communication stakeholder activity report provide information corporate social responsibility reference csr initiative group help realize sustaina"
"7",2380,"Welltec A/S","Advanced","annual report approve annual shareholder meet company profile management consolidate key figure ratio financial review outlook risk corporate social responsibility company detail statement management annual report independent auditor report financial statement parent company consolidate group financial statement branch definition annual report company profile global service provider develop deliver technology service intend transform oil gas industry game change solution dedicate optimize constr"
"8",1700,"OP Financial Group","Advanced","aoe open ear foe tie ear pet com aoe man ete code pilot see aie eat fee ane ace con light eat meet eat man ree age tie care mean come run financial group report board director financial statement content report board director analysis balance sheet financial group strategic target focus promotion success owner customer operate report non financial information capital risk see retail corporate operation board member change financial group structure governance cooperative legal structure group eve"
"9",2060,"Shinsei Bank, Limited","Advanced","datum appendix corporate information consolidate statement income status management improvement consolidate statement regional initiative comprehensive income risk management consolidate statement change equity risk consolidate statement cash flow financial information note consolidated financial statement management discussion analysis independent auditor report financial condition result operation balance sheet overview statement income select financial datum consolidate statement result opera"
"10",1203,"Inter IKEA Group","Advanced","transform circular business collaboration social entrepreneur product new model product ownership launch programme sustainable source read offer furniture service link business planet material innovation home end announce design tackle ocean plastic assess accord decision invest pollution page circular product design principle read accelerate transformation air pollution page tee climate positive business read page limit planet good business strengthen effort improve remain affordable product co"
"11",1908,"Ralph Lauren Corporation","Advanced","global citizenship sit pee global citizenship overview ceo chairman nee pie bee see seal ote coal pee create pet pee product age sea ere bee global citizenship report create style end design production team total employee participate training expand resource commit design sustainable product experience continue create new module remain date relevant sustainability citizenship source manufacture invest issue opportunity innovation emerge standard good practice innovation advance effort goal recyc"
"12",1315,"Kimberly - Clark Corporation","Advanced","tee see message make life well social impact message small environmental footprint plastic footprint business forest footprint carbon footprint strategy decade water footprint action decade make difference value chain right thing create share value solve global challenge ingredient transparency focus essential environment health safety convert word action human right ethical practice aspiration goal inclusion diversity talent development cover care community change live program long time partner"
"13",1926,"Rexel Group","Advanced","rent fee share capital register office world version universal registration document file capacity competent authority application provision regulation prior approval accordance article regulation version universal registration document purpose public offering security trade market supplement security note applicable summary supplement entire package approve accordance regulation document free translation original document prepare matter interpretation view opinion express original language docu"
"14",325,"Ascom Holding AG","Advanced","annual report global solution provider mobile work flow solution vision close digital information gap allow good possible decision mission provide mission critical real time solution mobile time sensitive ment use unique product solution software capability integration solution improve healthcare industry retail sector share average annual share price dividend yield proposal annual general meeting share information share price market value share price performance order revenue net segment wee pe"
"15",1777,"PGE Polska Grupa Energetyczna S.A.","Developing","capacity power plant implementation new low launch phase carbon project share construction new gas electricity fire unit generation implementation upgrade market investment power plant combine heat power plant result adapt group asset conclusion implementation target phase plant project select strategic launch partner half way energy decade launch programme potential expansion share renewable implementation end phase decade farm expansion programme implementation include real project estate conn"
"16",1879,"Pyei Sone Hein Company Limited","Developing","company limit tee certify global compact ungc communication progress limit main road iso certify tel iso certify table content statement continued support page global compact principle page human right principle page labour principle page environment principle tie page anti corruption principle page limited main road certify tel global compact annual cop communication progress participant company limit date join global compact cop time period statement continued support chief executive officer s"
"17",2027,"Secop GmbH","Advanced","communication progress period cover statement continued support chief executive officer pleased confirm reaffirm support principle global compact respect human right labour environment anti corruption communication express advance principle sphere influence annual communication progress describe action improve integration global compact principle business strategy culture daily operation commit share information stakeholder primary channel communication right principle business support respect p"
"18",1704,"OSF Global Services SRL","Developing","include ceo statement continue support global compact principle stakeholder pleased confirm global service reaffirm support principle global compact area human right labor environment anti corruption communication express advance support principle sphere influence commit make global compact principle strategy culture day operation company engage collaborative project advance broad development goal development goal annual communication progress describe action improve integration global compact p"
