"","doc_id","participant","economy_type","reconstructed_chars"
"1",1052,"Grupo Sese","Advanced","corporate social responsibility report non financial information statement corporate social responsibility report prepare accordance essential option global reporting initiative standard accord standard document publish main objective highlight activity carry organisation perspective total transparency offer complete overview organisation social environmental economic development report tool present information status non financial position form organisation report respond requirement law non fi"
"2",1511,"Mediaset España Comunicación S.A.","Advanced","report annual corporate report present content offer video series board director agree company new hold launch promote change new digital medium year old target responsible household concept celebrate gender anniversary lead format annual corporate report ill start edition aim train future master creation management content produce professional sector year old launch digital medium reach good historical position platform allow global ranking video consumption enjoy entire launch month campaign o"
"3",1041,"Grupo Catalana Occidente","Advanced","corporate responsibility report content introduction materiality gri corporate responsibility report commitment stakeholder corporate responsibility environment content introduction report introduction business model corporate governance corporate responsibility materiality sustainable development goal sdg corporate responsibility master plan commitment stakeholder employee important asset customer central link activity shareholder key sustainability agent supplier service provider society envir"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",1561,"Mitsui & Co., Ltd.","Advanced","business integrate publication integrated report let short term gain mind seek prosperity embrace aspiration word president represent foundation word avoid focused near term profit realize growth create business contribute society long term development release revise version mission vision value corporate management philosophy announcement medium term management plan transform grow revise time year new philosophy put message center include vision create grow business address material issue susta"
"6",940,"Fuyo General Lease Co., Ltd.","Advanced","group lease report corporate lease group integrate report management philosophy content support corporate activity lease corporate business view contribute development content society message president corporate history maintain customer philosophy provide introduction lease group good service financial non financial highlight value creation story believe aim earn high mark shareholder thing market pursue creativity innovation intelligence sense term management plan create challenging workplace "
"7",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"8",1609,"NN Group","Advanced","accelerate sustainable transformation annual review oil tee investment partner office value clear commit employee customer year found annual review perform financial indicator operate result free cash flow hold ratio increase year operate free cash flow holding ratio reflect capital result reflect improve reflect net flow shareholder market result subsidiary impact offset operate non life high result offset hold capital generation company expense interest loan debt hold company cash flow expense"
"9",1426,"Lombard Odier","Advanced","aie pay pee foot wet eat die pee tee anti bribery anti corruption measure corporate governance ethic carbon issue environmental impact involvement respect diverse culture people customer satisfaction adherence principle fair competition accountability transparency performance reporting age aim link sustainability activity sustainable development goal sdgs focus significant impact operate time recognise need develop sustainability commitment adapt effort issue focus continue evolve create tangibl"
"10",1065,"HAMAMATSU PHOTONICS K.K.","Advanced","content table content management philosophy group activity message activity product application review vision solid state system division central origin research development contribution academic research historical activity governance value creation model light financial datum year key enable technology closing message member corporate policy environment publish integrate report medium share mid long term value creation financial non financial information international framework provide interna"
"11",1074,"HORIBA, Ltd.","Advanced","draw energy enter post era founder realize limitation carry research cover story university establish laboratory pursue research find president year president start study medical science hope bring company new field study allow understand human body explain realization change value see human capability explain power science want draw capability realize get result creative idea pursue work mission construct company give employee opportunity work pioneer glass meter manufacture principle ear corpo"
"12",335,"Astellas Pharma Inc.","Advanced","year end content policy enable deep stakeholder understanding effort continue create value sustainable growth company ceo message publish annual report integrate report order provide timely information fiscal year end start publish annual report website information online version annual report corporate strategy update late information need philosophy annual report message representative director ceo result second year corporate strategic plan work achieve corporate strategic plan objective make"
"13",1777,"PGE Polska Grupa Energetyczna S.A.","Developing","capacity power plant implementation new low launch phase carbon project share construction new gas electricity fire unit generation implementation upgrade market investment power plant combine heat power plant result adapt group asset conclusion implementation target phase plant project select strategic launch partner half way energy decade launch programme potential expansion share renewable implementation end phase decade farm expansion programme implementation include real project estate conn"
"14",905,"Fingrid Oyj","Advanced","consumption electricity generate consumer different way transmission grid distribution network operator consumer produce electricity cross border connection service electricity market service image role electricity system generate online annual report contain part specify user visit online report annual report mean combine regulation capable small electricity production consumption storage site large entity enable electricity trade different electricity balance power market balance power market "
"15",1781,"PJSC Inter RAO","Developing","fee see company structure market overview development risk opportunity innovative activity management system procurement activity system financial result generation foreign asset supply trading engineering ote sustainable development corporate governance report social responsibility principle achievement message chairman board director sustainable development goal corporate governance system stakeholder engagement general meeting shareholder environmental director occupational safety prevent occ"
"16",1705,"OSF Global Ukraine LLC","Developing","description action relevant policy relate human right assessment policy goal description relevance human right company human right risk assessment description policy public commitment company goal human right company respect declaration human right internal regulation document name code conduct available employee respect exception supplier customer selection account adherence partner global compact principle business collaboration organization respect human right company respect human right empl"
"17",2084,"SkanTech ApS","Advanced","cop human right principle assessment policy goal description relevance specific human right issue company base assessment human right risk description policy public commitment company goal human right goal influence employee business partner respect declaration human right environmental protection base commitment set code conduct recent future supplier implementation description concrete action implement human right policy address human right risk respond human right relate concern take followin"
"18",2085,"SkanTech ApS","Advanced","cop human right principle assessment policy goal description relevance specific human right issue company base assessment human right risk description policy public commitment company goal human right goal influence employee business partner respect declaration human right environmental protection base commitment set code conduct recent future supplier implementation description concrete action implement human right policy address human right risk respond human right relate concern take followin"
"19",1352,"Krusell (Thailand) Co., Ltd","Developing","financial statement year end independent auditor report shareholder board director opinion audit financial statement company comprise statement financial position statement income statement change shareholder equity year end note financial statement include summary significant accounting policy opinion financial statement present material respect financial position financial performance year end accordance financial reporting standard non accountable entity basis opinion conduct audit accordance"
