"","doc_id","participant","economy_type","reconstructed_chars"
"1",1926,"Rexel Group","Advanced","rent fee share capital register office world version universal registration document file capacity competent authority application provision regulation prior approval accordance article regulation version universal registration document purpose public offering security trade market supplement security note applicable summary supplement entire package approve accordance regulation document free translation original document prepare matter interpretation view opinion express original language docu"
"2",1974,"SODEXO IBERIA S.A","Advanced","woe version registration document quality life service enhance moment touch daily life ensure positive impact health city planet group remain committed mission improve quality life serve community operate fuel energy member develop country expect average population growth represent world population rapid offer solution adapt increase city create world increase mobility employee economic social challenge strong position generate global develop country emerge middle class technology strong experti"
"3",1854,"Plastic Omnium","Advanced","plastic let shape future mobility universal registration document nee integrate report annual financial report corporate governance report statement non financial performance integrate report statutory account presentation plastic statutory account business income statement key figure balance sheet history development group note statutory account organization chart year financial summary significant event subsidiary affiliate business statutory auditor report objective strategy financial stateme"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",1561,"Mitsui & Co., Ltd.","Advanced","business integrate publication integrated report let short term gain mind seek prosperity embrace aspiration word president represent foundation word avoid focused near term profit realize growth create business contribute society long term development release revise version mission vision value corporate management philosophy announcement medium term management plan transform grow revise time year new philosophy put message center include vision create grow business address material issue susta"
"6",1329,"Komatsu Ltd.","Advanced","tee eat day wee enhance quality life special feature business model characteristic initiative base tcfd framework initiative develop people operation grow society flexible global production procurement system social contribution activity business segment corporate governance growth strategy corporate profile message director audit supervisory member message year summary special feature value creation story non financial highlight external evaluation index inclusion machinery business corporate i"
"7",2053,"SharePower Responsible Investing, Inc.","Advanced","responsible invest die lie pee ale advisor register principal connect advisor responsible invest communication progress disclosure contact info responsible invest national office main investing involve risk include loss principal different type investment carry vary degree risk client prepare bear investment original principal loss investing include responsible investing guarantee success document recommendation buy sell security information contain sufficient investment decision buy sell securi"
"8",2156,"Svenska Handelsbanken AB (publ)","Advanced","found bank branch network way work strong local presence long term approach customer relation goal well profitability average peer competitor home market achieve goal have satisfied customer low cost found satisfied customer branch home market home market conversation ceo head sustainability sustainable development goal manager group mutual fund bank concept working woman volume manage method material sustainability topic bank customer sustainability criterion bank role community responsible fin"
"9",1580,"Movestic Livforsakring AB","Advanced","sustainability digital development enable new way work simple transparent way enable customer great transparency product opportunity build advisory service available sure service people access independent advice free conflict sustainable society responsibility rest itis responsibility monitor area company focus pension conflict interest arise cover life health contribute focus individual involve focus employee sustainable development create condition require long individual perspective point mov"
"10",862,"Eurasian Resources Group","Advanced","industry development global producer address issue responsible sourcing raw material circular economy energy innovation battery found member global battery alliance leader certify product address human right risk global battery sector organization look collaborative solution supply chain issue support world economic forum global battery alliance public private multi stakeholder collaboration global battery develop inclusive innovative world sustainable battery value chain power fourth industrial"
