"","doc_id","participant","economy_type","reconstructed_chars"
"1",1926,"Rexel Group","Advanced","rent fee share capital register office world version universal registration document file capacity competent authority application provision regulation prior approval accordance article regulation version universal registration document purpose public offering security trade market supplement security note applicable summary supplement entire package approve accordance regulation document free translation original document prepare matter interpretation view opinion express original language docu"
"2",1854,"Plastic Omnium","Advanced","plastic let shape future mobility universal registration document nee integrate report annual financial report corporate governance report statement non financial performance integrate report statutory account presentation plastic statutory account business income statement key figure balance sheet history development group note statutory account organization chart year financial summary significant event subsidiary affiliate business statutory auditor report objective strategy financial stateme"
"3",1974,"SODEXO IBERIA S.A","Advanced","woe version registration document quality life service enhance moment touch daily life ensure positive impact health city planet group remain committed mission improve quality life serve community operate fuel energy member develop country expect average population growth represent world population rapid offer solution adapt increase city create world increase mobility employee economic social challenge strong position generate global develop country emerge middle class technology strong experti"
"4",2274,"Tokyo Century Corporation","Advanced","century report commitment run corporate assist customer partner company develop business pursue growth century corporation integrate report content way century group history business strategy business model equipment current status value strength mobility fleet management strength opportunity risk new fourth medium term management plan create diverse business match financing business strategy specific initiative current trend management environment free regulatory international business pursue b"
"5",1561,"Mitsui & Co., Ltd.","Advanced","business integrate publication integrated report let short term gain mind seek prosperity embrace aspiration word president represent foundation word avoid focused near term profit realize growth create business contribute society long term development release revise version mission vision value corporate management philosophy announcement medium term management plan transform grow revise time year new philosophy put message center include vision create grow business address material issue susta"
"6",1329,"Komatsu Ltd.","Advanced","tee eat day wee enhance quality life special feature business model characteristic initiative base tcfd framework initiative develop people operation grow society flexible global production procurement system social contribution activity business segment corporate governance growth strategy corporate profile message director audit supervisory member message year summary special feature value creation story non financial highlight external evaluation index inclusion machinery business corporate i"
"7",740,"Dexus","Advanced","sustainability report comprehensive sustainability reporting support result outline annual report sustainability report contain sustainability performance pack sustainability datum sustainability approach procedure describe toe tee implementation sustainability approach year annual reporting present annual reporting year end available investor centre annual reporting hard copy email request call annual financial sustainability annual result corporate report statement report presentation statemen"
"8",564,"Charter Hall Group","Advanced","ice soft foe ore ree ceo message governance create value highlight performance datum principle ungc approach index statement social report annual sustainability report state environmental datum cover business activity charter report pertain asset activity group manage property fund asset operational control financial year end include datum outside entity supplier contractor material case information provide event take place close prepare report guide financial year global reporting standard core"
"9",1917,"Refinitiv","Advanced","see data beginning document report set read screen print help carbon footprint low possible small step lead big change use right working partner supplier customer partnership action charity performance datum disclosure performance datum global compact principle impact sustainable development goal tcfd report datum target sustainability issue impact community responsible business resource ability business continue evolve ethic datum privacy datum standard range cover area assessment management cl"
"10",862,"Eurasian Resources Group","Advanced","industry development global producer address issue responsible sourcing raw material circular economy energy innovation battery found member global battery alliance leader certify product address human right risk global battery sector organization look collaborative solution supply chain issue support world economic forum global battery alliance public private multi stakeholder collaboration global battery develop inclusive innovative world sustainable battery value chain power fourth industrial"
"11",2184,"TDK Electronics AG","Advanced","statement continued support message chairman management board member global compact time pledge support aim objective global compact express principle complete agreement understanding implementation corporate responsibility group company subsidiary lead manufacturer electronic component module system industry manufacturing sale activity world continue embrace principle essential foundation good corporate citizenship business responsibility society document code conduct group recognize role resol"
"12",2355,"Viatris","Advanced","global social responsibility report commit set reliability service habit right impact future global leadership wee set see bet table content introduction area impact industry trade approval employee engagement survey association pilot implementation issue global public health workshop country employee announce global partnership alliance set performance objective increase access treatment low middle income country net sale segment net sale product type rest market grow renewable world brand cons"
"13",348,"Austrian Post","Advanced","deliver post sustainability report reliable post reliable way objective consider mission hand provide service hand responsible ensure mail item reach recipient large small duty provide service accord self concept perform job everyday engage life people reliable post read guide pee different section sustainable gri index annual sustainability internet report development additional goal information sustainability report post wee branch office employee statement ale post integrate corporate sustain"
"14",2166,"Swiss Post","Advanced","post sustainability report sustainability report structure report document post annual reporting document consist post annual report post financial report management report corporate governance annual financial statement group report accordance global reporting initiative guideline annual report key figure language report available english german version online report order electronic version annual reporting document available annual report financial report available print form look statement r"
"15",1139,"IBA Group","Advanced","social responsibility report group corporate social responsibility report content message group chairman section manage company business overview mission vision value organizational structure business ethic practice develop sustainable business sustainability management contribution sustainable development goal stakeholder engagement section implement innovation service quality management mobile technology cloud technology process automation section make responsible decision environmental protec"
"16",1705,"OSF Global Ukraine LLC","Developing","description action relevant policy relate human right assessment policy goal description relevance human right company human right risk assessment description policy public commitment company goal human right company respect declaration human right internal regulation document name code conduct available employee respect exception supplier customer selection account adherence partner global compact principle business collaboration organization respect human right company respect human right empl"
