"","doc_id","participant","economy_type","reconstructed_chars"
"1",1194,"Ingenieria y Economia del Transporte ...","Advanced","annual report annual report letter look large figure worldwide milestone strategy strategic plan corporate governance integrity transparency good practice team innovation quality road agenda smart mobility main project agenda firm commitment agenda sdg equality sustainability compliance balance sheet profit loss statement annual report management smart city fundamental pillar daily activity define company corporate culture regard international market area major involvement team area increase rev"
"2",659,"Curaçao Industrial and International ...","Advanced","image obtain iso certification international pany certification iso image obtain acknowledge good investment promotion good invest global report site selection magazine big agency industrial commercial development international trade development company name good invest report site selection magazine good investment promotion agency site selection magazine publish offer specialized information expansion plan executive rapid growth company compromise improve development free zone industrial park"
"3",2201,"TPER S.p.A.","Advanced","consolidate non financial disclosure pursuant legislative content letter stakeholder datum note method ease vision mission sustainability scenario strategy policy governance corporate structure model measure combat integrate management system policy certification stakeholder materiality analysis risk responsible management see service provide see tee sector road internal organisation human develop human industrial relation diversity equal opportunity health training economic sustainability econo"
"4",2284,"Toto Ltd.","Advanced","group integrate report philosophy system group management spirit word founder philosophy system group management come bring concept service work goal provide good product satisfy customer profit compensation follow world profit end capture real thing letter write president contain word founder formulate company base corporate activity future respect found idea pass incorporate philosophy system group management appropriate time share group common group philosophy common group philosophy represen"
"5",1895,"ROHM Co., Ltd.","Advanced","note report translation integrate report original version report write event word account figure report original version govern corporate philosophy company mission employee establishment order company trust rely society company mission quality priority time objective contribute advancement progress culture consistent supply circumstance high quality product large volume global market basic management policy secure reasonable profit company wide effort comprehensive quality assurance program dev"
"6",1143,"IDEC Corporation","Advanced","think automation phone report pioneer new norm way safe step global company adopt new philosophy way encompass follow sustainable world vision engage development human machine core leverage core technology create enhance development management industrial switch control device machine want safe point contact human machine manufacture site daily life desire contribute society contribute wellbeing society base premise pioneer new norm safe sustainable world time human machine break inspire pursue r"
"7",216,"Aareal Bank AG","Advanced","separate combine report separate combine non financial report real separate combine non financial report real report separate combine non financial report real bank group relate financial year prepare accordance section german commercial code conjunction section conjunction section version amend directive implement publish group management report additional environmental social governance information indicator publish place article entitle sustainable economic activity transparency key image sec"
"8",2156,"Svenska Handelsbanken AB (publ)","Advanced","found bank branch network way work strong local presence long term approach customer relation goal well profitability average peer competitor home market achieve goal have satisfied customer low cost found satisfied customer branch home market home market conversation ceo head sustainability sustainable development goal manager group mutual fund bank concept working woman volume manage method material sustainability topic bank customer sustainability criterion bank role community responsible fin"
"9",715,"Danske Bank Group","Advanced","report eat issue material stakeholder business aim provide fair balanced representation activity progress outline report principle report represent statutory statement corporate social responsibility gender diversity management level accordance section executive order financial report credit institution investment sustainable finance responsible sourcing employee culture diversity inclusion environmental footprint welcome comment datum assurance suggestion question report performance send email "
"10",2264,"Thomson Reuters","Advanced","letter social impact trust year president ceo renewable energy global share social need set science base carbon reduction act integrity impact result target align degree independence hold strengthen society people business strengthen foundation great strength company society provide information people diverse inclusive workforce drive expertise insight people trust innovation connect community society achieve human risk focus right foundation corporate equality woe social impact work drive acces"
"11",1841,"Pfizer S.A. de C.V.","Developing","change patient live annual review content leadership new hospital business deliver vital medicine need chairman pursue scientific disease purpose commit cut edge research disease value culture source good science promise program live purpose partnership empower health care professional partner move ensure patient safety era automation technology timely delivery critical ensure ethic mean act equity medicine bring solution scale source local innovation help combat accelerate disease low middle in"
"12",1842,"Pfizer, Inc.","Advanced","change patient live annual review content leadership new hospital business deliver vital medicine need chairman pursue scientific disease purpose commit cut edge research disease value culture source good science promise program live purpose partnership empower health care professional partner move ensure patient safety era automation technology timely delivery critical ensure ethic mean act equity medicine bring solution scale source local innovation help combat accelerate disease low middle in"
